DATE,RMIDVLTR
2015-10-13,2884.11
2015-10-14,2873.64
2015-10-15,2908.63
2015-10-16,2910.96
2015-10-19,2905.39
2015-10-20,2915.36
2015-10-21,2885.15
2015-10-22,2914.81
2015-10-23,2921.64
2015-10-26,2907.61
2015-10-27,2884.33
2015-10-28,2929.74
2015-10-29,2922.82
2015-10-30,2919.07
2015-11-02,2960.01
2015-11-03,2963.90
2015-11-04,2956.70
2015-11-05,2954.32
2015-11-06,2936.42
2015-11-09,2906.45
2015-11-10,2916.68
2015-11-11,2900.71
2015-11-12,2852.65
2015-11-13,2833.50
2015-11-16,2877.62
2015-11-17,2865.91
2015-11-18,2911.47
2015-11-19,2909.01
2015-11-20,2914.36
2015-11-23,2918.42
2015-11-24,2930.19
2015-11-25,2929.98
2015-11-26,.
2015-11-27,2931.99
2015-11-30,2927.61
2015-12-01,2956.21
2015-12-02,2911.35
2015-12-03,2873.80
2015-12-04,2912.56
2015-12-07,2875.50
2015-12-08,2853.94
2015-12-09,2833.48
2015-12-10,2835.80
2015-12-11,2785.86
2015-12-14,2774.77
2015-12-15,2812.25
2015-12-16,2847.25
2015-12-17,2805.40
2015-12-18,2765.74
2015-12-21,2780.97
2015-12-22,2809.07
2015-12-23,2863.64
2015-12-24,2862.84
2015-12-25,.
2015-12-28,2850.39
2015-12-29,2876.72
2015-12-30,2855.28
2015-12-31,2836.93
2016-01-01,.
2016-01-04,2808.89
2016-01-05,2816.86
2016-01-06,2768.51
2016-01-07,2707.46
2016-01-08,2674.82
2016-01-11,2665.96
2016-01-12,2666.22
2016-01-13,2607.76
2016-01-14,2636.71
2016-01-15,2590.38
2016-01-18,.
2016-01-19,2574.96
2016-01-20,2537.76
2016-01-21,2553.78
2016-01-22,2612.05
2016-01-25,2557.53
2016-01-26,2613.87
2016-01-27,2599.30
2016-01-28,2606.92
2016-01-29,2680.17
2016-02-01,2679.90
2016-02-02,2625.84
2016-02-03,2657.55
2016-02-04,2669.12
2016-02-05,2628.11
2016-02-08,2569.27
2016-02-09,2554.89
2016-02-10,2554.78
2016-02-11,2510.86
2016-02-12,2559.79
2016-02-15,.
2016-02-16,2607.88
2016-02-17,2650.67
2016-02-18,2652.11
2016-02-19,2647.12
2016-02-22,2692.23
2016-02-23,2661.33
2016-02-24,2677.78
2016-02-25,2708.97
2016-02-26,2712.25
2016-02-29,2698.96
2016-03-01,2752.75
2016-03-02,2788.90
2016-03-03,2818.97
2016-03-04,2836.66
2016-03-07,2855.29
2016-03-08,2802.06
2016-03-09,2819.92
2016-03-10,2824.10
2016-03-11,2882.17
2016-03-14,2875.37
2016-03-15,2857.36
2016-03-16,2889.88
2016-03-17,2923.32
