Date,Close,quadratico,x,y,,x,y,linear
2017+AC0-09+AC0-04,170.949997,,225,155.0989119456,,225,155.0771563926,
2017+AC0-09+AC0-11,171.639999,,226,155.635280787,,226,155.6224128416,
2017+AC0-09+AC0-18,170.539993,,227,156.171540578,,227,156.1676692906,
2017+AC0-09+AC0-25,170.869995,,228,156.7076913186,,228,156.7129257396,
2017+AC0-10+AC0-02,172.229996,,229,157.2437330088,,229,157.2581821886,
2017+AC0-10+AC0-09,173.740005,,230,157.7796656486,,230,157.8034386376,
2017+AC0-10+AC0-16,174.979996,,231,158.315489238,,231,158.3486950866,
2017+AC0-10+AC0-23,177.880005,,232,158.851203777,,232,158.8939515356,
2017+AC0-10+AC0-30,178.919998,,233,159.3868092656,,233,159.4392079846,
2017+AC0-11+AC0-06,178.460007,,234,159.9223057038,,234,159.9844644336,
2017+AC0-11+AC0-13,179,,235,160.4576930916,,235,160.5297208826,
2017+AC0-11+AC0-20,182.779999,,236,160.992971429,,236,161.0749773316,
2017+AC0-11+AC0-27,175.100006,,237,161.528140716,,237,161.6202337806,
2017+AC0-12+AC0-04,179,,238,162.0632009526,,238,162.1654902296,
2017+AC0-12+AC0-11,180.179993,,239,162.5981521388,,239,162.7107466786,
2017+AC0-12+AC0-18,177.199997,,240,163.1329942746,,240,163.2560031276,
2017+AC0-12+AC0-25,176.460007,,241,163.66772736,,241,163.8012595766,
2018+AC0-01+AC0-01,186.850006,,242,164.202351395,,242,164.3465160256,
2018+AC0-01+AC0-08,179.369995,,243,164.7368663796,,243,164.8917724746,
2018+AC0-01+AC0-15,181.289993,,244,165.2712723138,,244,165.4370289236,
2018+AC0-01+AC0-22,190,,245,165.8055691976,,245,165.9822853726,
2018+AC0-01+AC0-29,190.279999,,246,166.339757031,,246,166.5275418216,
2018+AC0-02+AC0-05,176.110001,,247,166.873835814,,247,167.0727982706,
2018+AC0-02+AC0-12,177.360001,,248,167.4078055466,,248,167.6180547196,
2018+AC0-02+AC0-19,183.289993,,249,167.9416662288,,249,168.1633111686,
2018+AC0-02+AC0-26,176.619995,,250,168.4754178606,,250,168.7085676176,
2018+AC0-03+AC0-05,185.229996,,251,169.009060442,,251,169.2538240666,
2018+AC0-03+AC0-12,185.089996,,252,169.542593973,,252,169.7990805156,
2018+AC0-03+AC0-19,159.389999,,253,170.0760184536,,253,170.3443369646,
2018+AC0-03+AC0-26,159.789993,,254,170.6093338838,,254,170.8895934136,
2018+AC0-04+AC0-02,157.199997,,255,171.1425402636,,255,171.4348498626,
2018+AC0-04+AC0-09,164.520004,,256,171.675637593,,256,171.9801063116,
2018+AC0-04+AC0-16,166.279999,,257,172.208625872,,257,172.5253627606,
2018+AC0-04+AC0-23,173.589996,,258,172.7415051006,,258,173.0706192096,
2018+AC0-04+AC0-30,176.610001,,259,173.2742752788,,259,173.6158756586,
2018+AC0-05+AC0-07,186.990005,,260,173.8069364066,,260,174.1611321076,
2018+AC0-05+AC0-14,182.679993,,261,174.339488484,,261,174.7063885566,
2018+AC0-05+AC0-21,184.919998,,262,174.871931511,,262,175.2516450056,
2018+AC0-05+AC0-28,193.990005,,263,175.4042654876,,263,175.7969014546,
2018+AC0-06+AC0-04,189.100006,,264,175.9364904138,,264,176.3421579036,
2018+AC0-06+AC0-11,195.850006,,265,176.4686062896,,265,176.8874143526,
2018+AC0-06+AC0-18,201.740005,,266,177.000613115,,266,177.4326708016,
2018+AC0-06+AC0-25,194.320007,,267,177.53251089,,267,177.9779272506,
2018+AC0-07+AC0-02,203.229996,,268,178.0642996146,,268,178.5231836996,
2018+AC0-07+AC0-09,207.320007,,269,178.5959792888,,269,179.0684401486,
2018+AC0-07+AC0-16,209.940002,,270,179.1275499126,,270,179.6136965976,
2018+AC0-07+AC0-23,174.889999,,271,179.659011486,,271,180.1589530466,
2018+AC0-07+AC0-30,177.779999,,272,180.190364009,,272,180.7042094956,
2018+AC0-08+AC0-06,180.259995,,273,180.7216074816,,273,181.2494659446,
2018+AC0-08+AC0-13,173.800003,,274,181.2527419038,,274,181.7947223936,
2018+AC0-08+AC0-20,174.649994,,275,181.7837672756,,275,182.3399788426,
2018+AC0-08+AC0-27,175.729996,,276,182.314683597,,276,182.8852352916,
2018+AC0-09+AC0-03,163.039993,,277,182.845490868,,277,183.4304917406,
2018+AC0-09+AC0-10,162.320007,,278,183.3761890886,,278,183.9757481896,
2018+AC0-09+AC0-17,162.929993,,279,183.9067782588,,279,184.5210046386,
2018+AC0-09+AC0-24,164.460007,,280,184.4372583786,,280,185.0662610876,
2018+AC0-10+AC0-01,157.330002,,281,184.967629448,,281,185.6115175366,
2018+AC0-10+AC0-08,153.740005,,282,185.497891467,,282,186.1567739856,
2018+AC0-10+AC0-15,154.050003,,283,186.0280444356,,283,186.7020304346,
2018+AC0-10+AC0-22,145.369995,,284,186.5580883538,,284,187.2472868836,
2018+AC0-10+AC0-29,150.350006,,285,187.0880232216,,285,187.7925433326,
2018+AC0-11+AC0-05,144.960007,,286,187.617849039,,286,188.3377997816,
2018+AC0-11+AC0-12,144.220001,,287,188.147565806,,287,188.8830562306,
